crop_name,description,season,type,source,used in
Green Bean,"A juicy little bean with a cool, crisp snap.",Spring,crop,Grown,Spring Crops Bundle
Kale,The waxy leaves are great in soups and stir fries.,Spring,crop,Grown,Not Used
Parsnip,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,Spring,crop,Grown,Spring Crops Bundle
Potato,A widely cultivated tuber.,Spring,crop,Grown,Spring Crops Bundle
Rhubarb,"The stalks are extremely tart, but make a great dessert when sweetened.",Spring,crop,Oasis,Not Used
Strawberry,"A sweet, juicy favorite with an appealing red color.",Spring,crop,Egg Festival,Not Used
Tulip,The most popular spring flower. Has a very faint sweet smell.,Spring,crop,Grown,Bee Houses
Unmilled Rice (Irrigated),Rice in its rawest form. Run this through a mill to increase the value.,Spring,crop,Rice paddy,Mill to Rice
Unmilled Rice (Unirrigated),Rice in its rawest form. Run this through a mill to increase the value.,Spring,crop,Dry soil,Mill to Rice
Blueberry,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.,Summer,crop,Grown,Not Used
Coffee Bean,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,Summer,crop,Grown,Not Used
Corn,"One of the most popular grains. The sweet, fresh cobs are a summer favorite.",Summer,crop,Grown,Not Used
Hops,"A bitter, tangy flower used to flavor beer.",Summer,crop,Grown,Pale Ale
Hot Pepper,Fiery hot with a hint of sweetness.,Summer,crop,Grown,"Summer Crops Bundle, ""A Soldier's Star"" Quest, Loved by Shane"
Melon,"A cool, sweet summer treat.",Summer,crop,Grown,Quality Crops Bundle
Pineapple,A sweet and tangy tropical treat.,Summer,crop,Ginger Island,Not Used
Poppy,"In addition to its colorful flower, the Poppy has culinary and medicinal uses.",Summer,crop,Grown,Loved by Penny
Radish,A crisp and refreshing root vegetable with hints of pepper when eaten raw.,Summer,crop,Grown,Not Used
Red Cabbage,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.,Summer,crop,Grown,Dye Bundle
Starfruit,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone.",Summer,crop,Grown,Not Used
Summer Spangle,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma.",Summer,crop,Grown,Honey
Summer Squash,"A curved yellow squash that is harvested while immature, and still tender.",Summer,crop,Grown,Not Used
Taro Root (Irrigated),This starchy root is one of the most ancient crops.,Summer,crop,Water grown,"""The Pirate's Wife"" Quest"
Taro Root (Unirrigated),This starchy root is one of the most ancient crops.,Summer,crop,Grown,"""The Pirate's Wife"" Quest"
Tomato,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses.",Summer,crop,Grown,Summer Crops Bundle
Powdermelon,"Named for the powdery coating that forms on the surface, this melon is crisp and sweet, with a delicate flavor.",Winter,crop,Grown,Not Used
